"Object Designation","Year Range","Potential Impacts","Impact Probability (cumulative)","Vinfinity (km/s)","H (mag)","Estimated Diameter (km)","Palermo Scale (cum.)","Palermo Scale (max.)","Torino Scale (max.)","?"
"(2018 TY4)","2033-2060","2","3.1e-4","10.67","28.1","0.008","-4.43","-4.43","0","bK18T04Y"
"(2016 DK1)","2043-2121","122","3.0e-4","6.87","27.4","0.011","-4.68","-5.10","0","bK16D01K"
"(2016 NL39)","2055-2121","321","3.0e-4","3.94","27.6","0.010","-5.11","-5.92","0","bK16N39L"
"(2018 WH)","2053-2121","355","2.9e-4","7.50","29.9","0.004","-6.15","-7.13","0","bK18W00H"
"(2020 RJ2)","2067-2121","46","2.7e-4","3.55","29.2","0.005","-6.06","-6.46","0","bK20R02J"
"(2015 KG158)","2045-2121","93","2.6e-4","7.69","28.3","0.007","-5.30","-5.37","0","bK15KF8G"
"(2022 AT2)","2080-2080","1","2.6e-4","6.44","26.9","0.014","-4.74","-4.74","0","bK22A02T"
"(2021 EF3)","2108-2121","16","2.6e-4","3.40","29.3","0.005","-6.16","-6.69","0","bK21E03F"
"(2018 JD)","2067-2116","20","2.6e-4","8.01","26.7","0.016","-4.47","-4.47","0","bK18J00D"
"(2008 HJ)","2077-2121","33","2.6e-4","7.53","25.8","0.024","-4.26","-4.73","0","bK08H00J"
"(2021 SQ)","2062-2071","5","2.5e-4","10.56","28.4","0.007","-5.21","-5.23","0","bK21S00Q"
"(2020 BB5)","2092-2121","17","2.5e-4","8.82","29.7","0.004","-6.18","-6.20","0","bK20B05B"
"(2010 UY7)","2066-2121","109","2.4e-4","3.87","28.5","0.007","-5.71","-6.16","0","bK10U07Y"
